ResearchNumber,SealNumber,State,Species,DeathLocation,DateCollected,SampleType,Sex,AgeClass,Notes
,2139670,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,F,NA,
,2149936,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2139249,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,F,NA,
,2156801,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2134773,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2145240,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2139669,Maine,Odocoileus virginianus,,NA,Lymph Node,,NA,
,2134774,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2139664,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,F,NA,
,2145136,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,F,NA,
,2132129,Maine,Odocoileus virginianus,Pownal,NA,Lymph Node,F,NA,
,2139299,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,M,NA,
,2116893,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,M,NA,
,2122762,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,M,NA,
,2145038,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,M,NA,
,2172892,Maine,Odocoileus virginianus,Pownal,NA,Lymph Node,M,NA,
,2144467,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2172941,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2139343,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,M,NA,
,2156695,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2172886,Maine,Odocoileus virginianus,Pownal,NA,Lymph Node,F,NA,
,2172916,Maine,Odocoileus virginianus,Pownal,NA,Lymph Node,M,NA,
,2143763,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,F,NA,
,2156642,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,M,NA,
,2151097,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2140942,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2143631,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,F,NA,
,2145213,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2173472,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,M,NA,
,2173434,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,M,NA,
,2156689,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2139531,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,F,NA,
,2145064,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2131561,Maine,Odocoileus virginianus,Osborn,NA,Lymph Node,M,NA,
,2134789,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,F,NA,
,2144426,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,F,NA,
,2135391,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2144425,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,F,NA,
,2118181,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,F,NA,
,2172894,Maine,Odocoileus virginianus,Pownal,NA,Lymph Node,F,NA,
,2145072,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2172996,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2140997,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2149010,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,M,NA,
,2135347,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2140998,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2143693,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,F,NA,
,2172924,Maine,Odocoileus virginianus,Pownal,NA,Lymph Node,M,NA,
,2139224,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,M,NA,
,2138072,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,F,NA,
,2135410,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2139549,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,M,NA,
,2156832,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,M,NA,
,2124609,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,F,NA,
,2140995,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2122769,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,M,NA,
,2173404,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2172925,Maine,Odocoileus virginianus,Pownal,NA,Lymph Node,M,NA,
,2163975,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,F,NA,
,2139366,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,M,NA,
,2163924,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,F,NA,
,2124810,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,F,NA,
,2140987,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2149771,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,F,NA,
,2138086,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,M,NA,
,2138046,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,M,NA,
,2163948,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,M,NA,
,2163914,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,M,NA,
,2149044,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,M,NA,
,2145118,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2138122,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,M,NA,
,2170205,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,2131099,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,M,NA,
,2170217,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,2112472,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2141924,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,M,NA,
,2170215,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,M,NA,
,2150432,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,F,NA,
,2140989,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2145208,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,M,NA,
,2164029,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,M,NA,
,2150238,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,M,NA,
,2143745,Maine,Odocoileus virginianus,Hollis,NA,Lymph Node,F,NA,
,2122992,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,2140990,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2122995,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,M,NA,
,2122994,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,2123000,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,2170207,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,2159187,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,M,NA,
,2149823,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2169285,Maine,Odocoileus virginianus,York,NA,Lymph Node,F,NA,
,2131084,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,21191301,Maine,Odocoileus virginianus,Eliot,NA,Lymph Node,,NA,
,2147492,Maine,Odocoileus virginianus,Eliot,NA,Lymph Node,M,NA,
,2147689,Maine,Odocoileus virginianus,Eliot,NA,Lymph Node,F,NA,
,2144968,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2143787,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2122987,Maine,Odocoileus virginianus,Lebanon,NA,Lymph Node,F,NA,
,2140932,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2170750,Maine,Odocoileus virginianus,Eliot,NA,Lymph Node,M,NA,
,2160574,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2169202,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
,2151608,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,F,NA,
,2167591,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,F,NA,
,2130964,Maine,Odocoileus virginianus,Ripley,NA,Lymph Node,M,NA,
,2174099,Maine,Odocoileus virginianus,Thomaston,NA,Lymph Node,M,NA,
,2135580,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2167552,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2168733,Maine,Odocoileus virginianus,Albion,NA,Lymph Node,F,NA,
,2135553,Maine,Odocoileus virginianus,Montville,NA,Lymph Node,F,NA,
,2137095,Maine,Odocoileus virginianus,Livermore Falls,NA,Lymph Node,M,NA,
,2161222,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2134263,Maine,Odocoileus virginianus,Long Pond Twp,NA,Lymph Node,M,NA,
,2135690,Maine,Odocoileus virginianus,Washington,NA,Lymph Node,M,NA,
,2130839,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,F,NA,
,2141934,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,M,NA,
,2137087,Maine,Odocoileus virginianus,Sabattus,NA,Lymph Node,F,NA,
,2140711,Maine,Odocoileus virginianus,Ripley,NA,Lymph Node,M,NA,
,2148117,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,F,NA,
,2137423,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2154672,Maine,Odocoileus virginianus,Anson,NA,Lymph Node,M,NA,
,2141235,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2136151,Maine,Odocoileus virginianus,Ripley,NA,Lymph Node,F,NA,
,2141586,Maine,Odocoileus virginianus,Washington,NA,Lymph Node,M,NA,
,2124001,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,F,NA,
,2133250,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,F,NA,
,2161993,Maine,Odocoileus virginianus,Somerville,NA,Lymph Node,M,NA,
